,City,Country,Lat,Lng,Hotel Name,Hotel Names
0,moroni,KM,-11.7,43.26,,Golden Tulip Grande Comore Moroni Resort & Spa
1,namatanai,PG,-3.67,152.43,,Namatanai Hotel
2,punta arenas,CL,-53.15,-70.92,,Hotel Carpa Manzano
3,capilla de guadalupe,MX,20.83,-102.58,,Centriplaza Hotel & Spa
4,hamilton,US,39.18,-84.53,,
5,porterville,US,36.07,-119.02,,Holiday Inn Express & Suites Porterville
6,provideniya,RU,64.38,-173.3,,
7,hilo,US,19.73,-155.09,,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
8,port alfred,ZA,-33.59,26.89,,The Halyards Hotel
9,hermanus,ZA,-34.42,19.23,,The Marine Hermanus
10,butaritari,KI,3.07,172.79,,Isles Sunset Lodge
11,albany,US,42.6,-73.97,,
12,ancud,CL,-41.87,-73.82,,Panamericana Hotel Ancud
13,georgetown,MY,5.41,100.34,,"Eastern & Oriental Hotel, Penang"
14,upernavik,GL,72.79,-56.15,,Café de Upernavik
15,lagoa,PT,39.05,-27.98,,Graciosa Resort - Biosphere Island Hotel
16,puerto carreno,CO,6.19,-67.49,,Hotel en Leticia Amazonas
17,arraial do cabo,BR,-22.97,-42.03,,Hotel da Canoa
18,conceicao do araguaia,BR,-8.26,-49.26,,Tarumã Tropical Hotel
19,yerofey pavlovich,RU,53.97,121.97,,"Gostinitsa ""Udacha"""
20,east london,ZA,-33.02,27.91,,Lighthouse Accommodation
21,aksay,RU,47.26,39.87,,Gostinitsa Aksu
22,tevaitoa,PF,-16.78,-151.5,,Hôtel Raiatea Lodge
23,purpe,RU,64.48,76.69,,"Hotel ""Yamal"""
24,ushuaia,AR,-54.8,-68.3,,Los Cauquenes Resort & Spa
25,vaini,TO,-21.2,-175.2,,Paradise First Hotel
26,zunyi,CN,27.69,106.91,,Orient Jianguo Grand Hotel
27,fortuna,US,40.6,-124.16,,Best Western Country Inn
28,thompson,CA,55.74,-97.86,,Best Western Thompson Hotel & Suites
29,minna,NG,9.61,6.56,,Vagosh Hotel
30,mataura,NZ,-46.19,168.86,,Ellie's Villa
31,aneho,TG,6.23,1.6,,La Côte du Soleil
32,bulungu,CD,-4.55,18.6,,
33,dicabisagan,PH,17.08,122.42,,
34,perth,AU,-31.93,115.83,,Hyatt Regency Perth
35,hasaki,JP,35.73,140.83,,Inn Inubosaki hotel of superb view
36,severo-kurilsk,RU,50.68,156.12,,Kak Doma
37,antalaha,MG,-14.9,50.28,,Villa-Malaza
38,anshun,CN,26.25,105.93,,DoubleTree by Hilton Hotel Anshun
39,pathein,MM,16.78,94.73,,Pathein Hotel
40,tasiilaq,GL,65.61,-37.64,,Hotel Angmagssalik
41,chuy,UY,-33.7,-53.46,,Bertelli Chuí Hotel
42,avarua,CK,-21.21,-159.78,,The Edgewater Resort and Spa
43,shahapur,IN,19.45,73.33,,Cibo Escape Resort
44,torbay,CA,47.67,-52.73,,
45,port hawkesbury,CA,45.62,-61.35,,Maritime Inn Port Hawkesbury
46,yellowknife,CA,62.46,-114.35,,The Explorer Hotel
47,kawalu,ID,-7.38,108.21,,Hotel Taman Mangkubumi Indah
48,hami,CN,42.8,93.45,,哈密环球大酒店
49,gisborne,NZ,-38.65,178.0,,Captain Cook Motor Lodge
50,oussouye,SN,12.48,-16.55,,
51,rikitea,PF,-23.12,-134.97,,Pension Maro'i
52,havoysund,NO,71.0,24.66,,Havøysund Hotel & Rorbuer
53,kruisfontein,ZA,-34.0,24.73,,
54,hithadhoo,MV,-0.6,73.08,,Pebbles Inn
55,bredasdorp,ZA,-34.53,20.04,,28 on Hoop
56,kamina,CD,-8.74,24.99,,
57,cabo san lucas,MX,22.89,-109.91,,Villa Del Palmar Beach Resort & Spa Cabo San Lucas
58,maxixe,MZ,-23.86,35.35,,Hotel Casa Do Capitão
59,geraldton,AU,-28.77,114.6,,Ocean Centre Hotel
60,rosetta,EG,31.4,30.42,,Mecca Hotel
61,busselton,AU,-33.65,115.33,,Abbey Beach Resort
62,buenaventura,CO,3.88,-77.03,,HOTEL YUBARTA
63,cape town,ZA,-33.93,18.42,,Atlanticview Cape Town Boutique Hotel
64,hovd,MN,48.01,91.64,,Steppe hotel
65,lubumbashi,CD,-11.66,27.48,,Alliance guest Housse William
66,praia da vitoria,PT,38.73,-27.07,,Atlântida Mar Hotel
67,saldanha,ZA,-33.01,17.94,,Blue Bay Lodge
68,marzuq,YE,14.4,46.47,,
69,imbituba,BR,-28.24,-48.67,,Praia Hotel Imbituba
70,ballina,AU,-28.87,153.57,,Ramada Hotel & Suites by Wyndham Ballina Byron
71,talnakh,RU,69.49,88.4,,Talnakh Hotel
72,kaitangata,NZ,-46.28,169.85,,
73,zhigansk,RU,66.77,123.37,,Gostinichnyy Kompleks Aylgy
74,fallon,US,39.47,-118.78,,Best Western Fallon Inn & Suites
75,vila franca do campo,PT,37.72,-25.43,,A Villa by the Sea
76,kodiak,US,57.79,-152.41,,Shelikof Lodge
77,mahebourg,MU,-20.41,57.7,,Preskil Island Resort
78,ixtapa,MX,20.7,-105.2,,Flamingo Vallarta Hotel & Marina
79,chokurdakh,RU,70.63,147.92,,
80,airai,TL,-8.93,125.41,,
81,barguzin,RU,53.62,109.62,,"Gostevoy Dom S.barguzin ""Vizit"""
82,souillac,MU,-20.52,57.52,,Shanti Maurice Resort & Spa
83,loknya,RU,56.83,30.15,,
84,colon,PA,9.36,-79.9,,Meryland Hotel
85,kavaratti,IN,10.57,72.64,,Bismillah Hotel And Lodging
86,mahalapye,BW,-23.1,26.81,,Cresta Mahalapye Hotel
87,nanortalik,GL,60.14,-45.24,,Hotel Kap Farvel
88,mar del plata,AR,-38.0,-57.56,,Hotel Vip's
89,kapaa,US,22.08,-159.32,,Sheraton Kauai Resort at Coconut Beach
90,cidreira,BR,-30.18,-50.21,,Pond Country Club
91,iqaluit,CA,63.75,-68.51,,Frobisher Inn
92,saskylakh,RU,71.92,114.08,,Saskylakh Aeroport
93,jiujiang,CN,29.73,115.98,,Xinhua Jianguo Hotel
94,salalah,OM,17.02,54.09,,Salalah Gardens Hotel
95,los llanos de aridane,ES,28.66,-17.92,,Hotel Hacienda de Abajo
96,larsnes,NO,62.2,5.58,,Sørbrandal
97,qaanaaq,GL,77.48,-69.36,,Qaanaaq Hotel
98,jawhar,SO,2.78,45.5,,SUUBIYE HOTEL AND RESTAURANT
99,santa rosa,PH,14.31,121.11,,Madie's Place Bed & Breakfast
100,mwanza,TZ,-2.52,32.9,,Adden Palace Hotel
101,bambanglipuro,ID,-7.95,110.28,,Paddy D'sawah Guest house
102,lebu,CL,-37.62,-73.65,,Hotel Plaza Lebu
103,ransang,PH,8.96,117.58,,
104,sharan,RU,54.82,54.0,,
105,luderitz,,-26.65,15.16,,Kairos Cottage
106,asau,RO,46.43,26.4,,Pensiunea Sophia
107,cardonal,MX,20.6,-99.13,,Hotel Boutique Otomi
108,togur,RU,58.36,82.83,,
109,hobart,AU,-42.88,147.33,,Lenna Of Hobart Hotel
110,huarmey,PE,-10.07,-78.15,,Hotel Miramar
111,bilma,NE,18.69,12.92,,
112,the valley,AI,18.22,-63.06,,"Zemi Beach House, LXR Hotels & Resorts"
113,bambous virieux,MU,-20.34,57.76,,La Hacienda Hotel
114,bluff,NZ,-46.6,168.33,,Foveaux Hotel
115,jamestown,US,42.1,-79.24,,Chautauqua Harbor Hotel
116,port elizabeth,ZA,-33.92,25.57,,The Vic Boutique Hotel
117,port-cartier,CA,50.03,-66.87,,Le Q'Artier
118,santa vitoria,BR,-18.84,-50.12,,HOTEL GUIMA
119,pisco,PE,-13.7,-76.22,,PiscoMar Peru
120,sao filipe,CV,14.9,-24.5,,Hotel Ocean View & Restaurante Seafood
121,coquimbo,CL,-29.95,-71.34,,Apart Hotel La Fuente
122,sargur,IN,11.98,76.42,,Jungle Trailz Kabini
123,san andres,CO,12.58,-81.7,,GHL Relax Hotel Sunrise
124,yima,CN,34.74,111.88,,Huanghe Hotel
125,yulara,AU,-25.24,130.99,,Desert Gardens Hotel - Ayers Rock Resort
126,ribeira grande,PT,38.52,-28.7,,Quinta Das Buganvílias
127,khash,IR,28.22,61.22,,خوابگاه دانشجویی خاش
128,hervey bay,AU,-25.3,152.85,,Oaks Hervey Bay Resort and Spa
129,aksarka,RU,66.56,67.8,,
130,podporozhye,RU,60.91,34.17,,U Maksimycha
131,puerto ayora,EC,-0.74,-90.35,,Hotel Solymar Galapagos
132,klaksvik,FO,62.23,-6.59,,Hotel Klaksvík
133,laguna,US,38.42,-121.42,,Hilton Garden Inn Sacramento Elk Grove
134,mmabatho,ZA,-25.85,25.63,,Peermont Walmont Hotel at Mmabatho Palms
135,cherskiy,RU,68.75,161.3,,
136,zyryanka,RU,65.75,150.85,,Zyryanka
137,kitimat,CA,54.05,-128.65,,The Chalet Motel
138,dali,CN,25.7,100.18,,Dali Encounter Hotel
139,usinsk,RU,65.99,57.53,,"Hotel ""Orbita"""
140,yuci,CN,37.68,112.73,,Eden International Hotel
141,rimbey,CA,52.63,-114.24,,Rimbey Ridge Hotel & Suites
142,road town,VG,18.42,-64.62,,Sea View Hotel
143,bonawon,PH,9.13,122.92,,
144,hofn,IS,64.25,-15.21,,Hótel Höfn
145,orlik,RU,52.52,99.83,,"Gostinitsa ""Aya-Ganga"""
146,new norfolk,AU,-42.78,147.06,,Tynwald Willow Bend Estate
147,esperance,AU,-33.87,121.9,,The Jetty Resort
148,balkhash,KZ,46.84,74.98,,Guest House Comfort-House-Balkhash
149,anadyr,RU,64.75,177.48,,Chukotka hotel
150,port blair,IN,11.67,92.75,,SeaShell Port Blair
151,norman wells,CA,65.28,-126.83,,Heritage Hotel
152,sitka,US,57.05,-135.33,,Aspen Suites Hotel Sitka
153,inirida,CO,3.87,-67.92,,Hotel Toninas
154,guadix,ES,37.3,-3.14,,hotel cuevas abuelo ventura
155,tiksi,RU,71.69,128.87,,Gostinitsa
156,padang,ID,-0.95,100.35,,Mercure Padang
157,nyurba,RU,63.28,118.33,,Gostinitsa Alrosa
158,felipe carrillo puerto,MX,19.58,-88.05,,Hotel Turquesa Maya
159,grindavik,IS,63.84,-22.43,,Harbour View
160,nikolskoye,RU,59.7,30.79,,Tourist House - Sablino
161,muros,ES,42.78,-9.06,,Hotel La Muradana
162,pundaguitan,PH,6.37,126.17,,Camp Bernardino de Lavigan
163,suntar,RU,62.14,117.63,,Gostevoy Dom
164,codrington,AU,-38.27,141.97,,Codrington Gardens Bed And Breakfast
165,belmonte,BR,-15.86,-38.88,,Pousada Rio
166,nishihara,JP,26.18,127.76,,DoubleTree by Hilton Hotel Naha Shuri Castle
167,victoria,HK,22.29,114.16,,The Harbourview
168,kabanjahe,ID,3.1,98.49,,SPOT ON 2076 Hotel Stadion
169,banda aceh,ID,5.56,95.32,,The Pade Hotel
170,rawson,AR,-43.3,-65.1,,Hotel Punta León
171,bengkulu,ID,-3.8,102.27,,Mercure Bengkulu
172,megalopoli,GR,37.4,22.14,,Leto Hotel
173,te anau,NZ,-45.42,167.72,,Lakefront Lodge
174,vila velha,BR,-20.33,-40.29,,Golden Tulip Porto Vitória
175,donskoye,RU,45.46,41.97,,
176,dingle,PH,11.0,122.67,,
177,nome,US,64.5,-165.41,,Noxapaga Suites
178,baruun-urt,MN,46.68,113.28,,"""Сод"" Буудал"
179,broken hill,AU,-31.95,141.43,,ibis Styles Broken Hill
180,port hardy,CA,50.7,-127.42,,Glen Lyon Inn
181,ilhabela,BR,-23.78,-45.36,,Ilha Flat Hotel
182,naze,JP,28.37,129.48,,Hotel New Amami
183,half moon bay,US,37.46,-122.43,,"The Ritz-Carlton, Half Moon Bay"
184,barrow,US,71.29,-156.79,,Top of the World Hotel
185,roscommon,IE,53.63,-8.18,,Abbey Hotel Roscommon
186,necochea,AR,-38.55,-58.74,,Hotel Real
187,vao,NC,-22.67,167.48,,OURE TERA beach resort
188,touros,BR,-5.2,-35.46,,Bugaendrus Paradise
189,komsomolskiy,UZ,40.43,71.72,,Hotel Mehmon Saroy
190,havelock,US,34.88,-76.9,,Holiday Inn Express and Suites Havelock
191,vestmannaeyjar,IS,63.44,-20.27,,Hotel Eyjar
192,manicore,BR,-5.81,-61.3,,Hotel Durval
193,tuktoyaktuk,CA,69.45,-133.04,,Smitty's Bed and Breakfast
194,labuhan,ID,-6.88,112.21,,
195,bethel,US,41.37,-73.41,,Best Western Danbury/Bethel
196,krasnoselkup,RU,65.7,82.47,,Krasnosel'kupnefteprodukt
197,pueblo,US,38.25,-104.61,,Courtyard by Marriott Pueblo Downtown
198,lagoa vermelha,BR,-28.21,-51.53,,Lagoa Parque Hotel
199,gander,CA,48.97,-54.59,,Comfort Inn Gander
200,sarangani,PH,5.4,125.46,,JVL Inn and Cafeteria
201,izhma,RU,65.01,53.91,,
202,tuatapere,NZ,-46.13,167.68,,Last Light Lodge
203,bakel,SN,14.9,-12.46,,Villa La Vallée
204,voi,KE,-3.39,38.56,,Voi Wildlife Lodge
205,brokopondo,SR,4.75,-55.17,,Matu Island
206,lompoc,US,34.64,-120.46,,Embassy Suites by Hilton Lompoc Central Coast
207,cao bang,VN,22.67,106.25,,Jeanne Hotel
208,la ronge,CA,55.1,-105.28,,The Harbour Inn
209,okato,NZ,-39.2,173.88,,
210,planaltina,BR,-15.45,-47.61,,Hotel Mirante
211,charlestown,AU,-32.95,151.67,,Best Western Plus Apollo International
212,cabay,PH,13.88,121.38,,Grand Central Hotel
213,torzhok,RU,57.04,34.96,,Reef Hotel
214,manuk mangkaw,PH,4.8,119.85,,
215,inhambane,MZ,-23.86,35.38,,Hotel Casa Do Capitão
216,faanui,PF,-16.48,-151.75,,InterContinental Bora Bora Resort Thalasso Spa
217,ilulissat,GL,69.22,-51.1,,Hotel Arctic
218,carnarvon,AU,-24.87,113.63,,The Gascoyne Hotel
219,saint-pierre,RE,-21.34,55.48,,LODGE PALMAE
220,dauriya,RU,49.93,116.87,,
221,shingu,JP,33.73,135.98,,Gran Hotel
222,manica,FR,49.0,-1.17,,Bed and Breakfast petit coin de paradis
223,nhulunbuy,AU,-12.23,136.77,,Walkabout Lodge & Tavern
224,joshimath,IN,30.57,79.57,,The Tattva Resort
225,margate,GB,51.38,1.39,,The Yarrow Hotel
226,alexandria,EG,31.22,29.96,,"Four Seasons Hotel Alexandria at San Stefano, Egypt"
227,isangel,VU,-19.55,169.27,,Quarumanu area
228,vikhorevka,RU,56.12,101.16,,Lesnaya
229,sao jose da coroa grande,BR,-8.9,-35.15,,Perobavilla Hotel
230,san javier,ES,37.81,-0.84,,Hotel El Marino
231,mineiros,BR,-17.57,-52.55,,Gran Park Hotel & Convenções
232,kutum,SD,14.2,24.67,,
233,moree,AU,-29.47,149.85,,Baths Motel
234,rapar,IN,23.57,70.63,,YAX 72 ટી હાઊસ
235,jacareacanga,BR,-6.22,-57.75,,HOTEL DA TANIA
236,clyde,US,41.3,-82.98,,Red Roof Inn Clyde
237,fairbanks,US,64.84,-147.72,,SpringHill Suites by Marriott Fairbanks
238,pasni,PK,25.26,63.47,,3G hotel pasni
239,khatanga,RU,71.97,102.5,,"Gostinitsa ""Zapolyar'ye"""
240,san felix,UY,-32.33,-58.13,,Gran Hotel Paysandú
241,kota kinabalu,MY,5.97,116.07,,Hilton Kota Kinabalu
242,vanavara,RU,60.34,102.28,,
243,bonthe,SL,7.53,-12.51,,Council Guesthouse
244,salaya,IN,22.32,69.6,,
245,sidi ali,DZ,36.1,0.42,,
246,yermakovskoye,RU,53.28,92.4,,"Oya, Gostinitsa"
247,pacific grove,US,36.62,-121.92,,Hyatt Regency Monterey Hotel And Spa On Del Monte Golf Course
248,bandarbeyla,SO,9.49,50.81,,REER XOOSHLE GROUP
249,emerald,AU,-23.53,148.17,,Emerald Star Hotel
250,jalingo,NG,8.88,11.37,,"Fast Track Hotel, Jalingo"
251,mitu,CO,1.2,-70.17,,
252,sai buri,TH,6.7,101.62,,บาซาเปาะแว
253,talavera,PH,15.62,120.93,,
254,broome,US,42.25,-75.83,,
255,sinnamary,GF,5.38,-52.95,,L'oiseau de Paradis
256,ponta do sol,PT,32.67,-17.1,,Hotel Da Vila
257,miri,MY,4.41,114.01,,Pullman Miri Waterfront
258,dumingag,PH,8.17,123.35,,
259,leningradskiy,RU,69.38,178.42,,
260,honiara,SB,-9.43,159.95,,Solomon Kitano Mendana Hotel
261,clyde river,CA,70.47,-68.59,,Naujaaraaluit – Clyde River Hotel
262,tezu,IN,27.92,96.17,,Hotel Taboka
263,nkhotakota,MW,-12.93,34.3,,Sitima Inn
264,bargarh,IN,21.33,83.62,,OYO 47838 Hotel Swastik
265,itarema,BR,-2.92,-39.92,,Hotel do David
266,tukrah,LY,32.53,20.58,,مطعم الحيطة
267,hambantota,LK,6.12,81.12,,The Bungalow Hambantota
268,mount isa,AU,-20.73,139.5,,Abacus Motel
269,bindura,ZW,-17.3,31.33,,Mayfair Lodges and Restaurant
270,mahibadhoo,MV,3.78,72.97,,Liberty Guest House
271,manokwari,ID,-0.87,134.08,,Swiss Belhotel Manokwari
272,berlevag,NO,70.86,29.09,,Berlevåg camping & Appartement AS
273,omsukchan,RU,62.53,155.8,,
274,masuguru,TZ,-11.37,38.42,,
275,coxim,BR,-18.51,-54.76,,Hotel Beira Rio
276,sarh,TD,9.14,18.39,,Auberge Bolaou de Kassaï
277,aklavik,CA,68.22,-135.01,,Sundog Inn
278,santander,ES,43.46,-3.8,,Hotel Art
279,boundiali,CI,9.52,-6.49,,IMAN S HOTEL
280,caravelas,BR,-17.71,-39.25,,Pousada Encanto Abrolhos
